Simulator streaming data to projects/project-44e3d7cf-953b-4eaa-b79/topics/ev-telemetry-raw... Press Ctrl+C to stop.
→ Published: EVSE-001 | V=389.0V | Temp=34.5C | Fault=None
→ Published: EVSE-004 | V=413.6V | Temp=30.9C | Fault=None
→ Published: EVSE-005 | V=419.5V | Temp=44.8C | Fault=None
→ Published: EVSE-001 | V=411.7V | Temp=29.2C | Fault=None
→ Published: EVSE-002 | V=382.5V | Temp=29.6C | Fault=None
→ Published: EVSE-003 | V=412.3V | Temp=42.7C | Fault=None
→ Published: EVSE-004 | V=380.9V | Temp=23.6C | Fault=None
→ Published: EVSE-005 | V=414.7V | Temp=26.2C | Fault=None
→ Published: EVSE-001 | V=387.2V | Temp=21.8C | Fault=None
→ Published: EVSE-002 | V=410.0V | Temp=41.7C | Fault=None
→ Published: EVSE-003 | V=387.9V | Temp=42.5C | Fault=None
→ Published: EVSE-004 | V=403.3V | Temp=36.4C | Fault=None
→ Published: EVSE-005 | V=417.4V | Temp=36.8C | Fault=None
→ Published: EVSE-001 | V=405.0V | Temp=21.2C | Fault=None
→ Published: EVSE-002 | V=404.0V | Temp=32.4C | Fault=None
→ Published: EVSE-003 | V=388.7V | Temp=25.9C | Fault=None
→ Published: EVSE-004 | V=417.5V | Temp=43.6C | Fault=None
→ Published: EVSE-005 | V=400.2V | Temp=22.7C | Fault=None
→ Published: EVSE-001 | V=270.8V | Temp=80.5C | Fault=F001_OVERHEAT
→ Published: EVSE-002 | V=397.0V | Temp=20.1C | Fault=None
→ Published: EVSE-003 | V=399.9V | Temp=43.9C | Fault=None
→ Published: EVSE-004 | V=392.1V | Temp=32.7C | Fault=None
→ Published: EVSE-005 | V=417.2V | Temp=24.3C | Fault=None
→ Published: EVSE-001 | V=405.3V | Temp=39.2C | Fault=None
→ Published: EVSE-002 | V=385.5V | Temp=42.3C | Fault=None
→ Published: EVSE-003 | V=394.7V | Temp=43.0C | Fault=None
→ Published: EVSE-004 | V=407.4V | Temp=23.0C | Fault=None
→ Published: EVSE-005 | V=384.7V | Temp=42.8C | Fault=None
→ Published: EVSE-001 | V=414.6V | Temp=33.6C | Fault=None
→ Published: EVSE-002 | V=408.1V | Temp=27.5C | Fault=None
→ Published: EVSE-003 | V=398.6V | Temp=30.1C | Fault=None
→ Published: EVSE-004 | V=415.7V | Temp=22.3C | Fault=None
→ Published: EVSE-005 | V=413.2V | Temp=34.6C | Fault=None
→ Published: EVSE-001 | V=380.3V | Temp=20.2C | Fault=None
→ Published: EVSE-002 | V=409.1V | Temp=32.2C | Fault=None
→ Published: EVSE-003 | V=400.7V | Temp=35.0C | Fault=None
→ Published: EVSE-004 | V=394.2V | Temp=37.7C | Fault=None
→ Published: EVSE-005 | V=390.0V | Temp=25.5C | Fault=None
→ Published: EVSE-001 | V=384.9V | Temp=43.8C | Fault=None
→ Published: EVSE-002 | V=396.2V | Temp=25.1C | Fault=None
→ Published: EVSE-003 | V=414.9V | Temp=32.4C | Fault=None
→ Published: EVSE-004 | V=409.7V | Temp=20.3C | Fault=None
→ Published: EVSE-005 | V=387.9V | Temp=33.7C | Fault=None
→ Published: EVSE-001 | V=408.7V | Temp=28.1C | Fault=None
→ Published: EVSE-002 | V=392.4V | Temp=31.5C | Fault=None
→ Published: EVSE-003 | V=382.2V | Temp=29.3C | Fault=None
→ Published: EVSE-004 | V=382.7V | Temp=43.1C | Fault=None
→ Published: EVSE-005 | V=416.3V | Temp=32.2C | Fault=None
→ Published: EVSE-001 | V=393.3V | Temp=26.3C | Fault=None
→ Published: EVSE-002 | V=406.5V | Temp=31.5C | Fault=None
→ Published: EVSE-003 | V=382.0V | Temp=41.2C | Fault=None
→ Published: EVSE-004 | V=395.5V | Temp=22.3C | Fault=None
→ Published: EVSE-005 | V=399.0V | Temp=44.7C | Fault=None
→ Published: EVSE-001 | V=399.9V | Temp=24.4C | Fault=None
→ Published: EVSE-002 | V=416.0V | Temp=24.7C | Fault=None
→ Published: EVSE-003 | V=380.5V | Temp=22.3C | Fault=None
→ Published: EVSE-004 | V=404.0V | Temp=33.1C | Fault=None
→ Published: EVSE-005 | V=412.0V | Temp=44.5C | Fault=None
→ Published: EVSE-001 | V=398.2V | Temp=40.6C | Fault=None
→ Published: EVSE-002 | V=381.1V | Temp=43.4C | Fault=None
→ Published: EVSE-003 | V=290.6V | Temp=85.8C | Fault=F001_OVERHEAT
→ Published: EVSE-004 | V=411.6V | Temp=42.1C | Fault=None
→ Published: EVSE-005 | V=416.4V | Temp=33.7C | Fault=None
→ Published: EVSE-001 | V=410.8V | Temp=21.1C | Fault=None
→ Published: EVSE-002 | V=405.4V | Temp=31.2C | Fault=None
→ Published: EVSE-003 | V=381.8V | Temp=44.5C | Fault=None
→ Published: EVSE-004 | V=383.2V | Temp=40.9C | Fault=None
→ Published: EVSE-005 | V=395.0V | Temp=41.6C | Fault=None
→ Published: EVSE-001 | V=399.5V | Temp=33.8C | Fault=None
→ Published: EVSE-002 | V=401.9V | Temp=28.6C | Fault=None
→ Published: EVSE-003 | V=416.6V | Temp=42.7C | Fault=None
→ Published: EVSE-004 | V=381.6V | Temp=34.8C | Fault=None
→ Published: EVSE-005 | V=392.2V | Temp=35.9C | Fault=None
→ Published: EVSE-001 | V=407.2V | Temp=27.0C | Fault=None
→ Published: EVSE-002 | V=403.6V | Temp=40.0C | Fault=None
→ Published: EVSE-003 | V=384.2V | Temp=29.9C | Fault=None
→ Published: EVSE-004 | V=406.2V | Temp=40.5C | Fault=None
→ Published: EVSE-005 | V=415.7V | Temp=31.1C | Fault=None
→ Published: EVSE-001 | V=400.5V | Temp=44.8C | Fault=None
→ Published: EVSE-002 | V=292.0V | Temp=79.7C | Fault=F001_OVERHEAT
→ Published: EVSE-003 | V=416.2V | Temp=40.9C | Fault=None
→ Published: EVSE-004 | V=412.4V | Temp=32.0C | Fault=None
→ Published: EVSE-005 | V=389.3V | Temp=39.2C | Fault=None
→ Published: EVSE-001 | V=414.8V | Temp=42.9C | Fault=None
→ Published: EVSE-002 | V=415.6V | Temp=32.3C | Fault=None
→ Published: EVSE-003 | V=393.0V | Temp=28.7C | Fault=None
→ Published: EVSE-004 | V=254.8V | Temp=75.9C | Fault=F002_UNDERVOLT
→ Published: EVSE-005 | V=415.8V | Temp=34.4C | Fault=None
→ Published: EVSE-001 | V=414.6V | Temp=38.4C | Fault=None
→ Published: EVSE-002 | V=400.4V | Temp=42.9C | Fault=None
→ Published: EVSE-003 | V=407.4V | Temp=24.4C | Fault=None
→ Published: EVSE-004 | V=414.0V | Temp=27.7C | Fault=None
→ Published: EVSE-005 | V=413.8V | Temp=21.6C | Fault=None
→ Published: EVSE-001 | V=416.1V | Temp=44.3C | Fault=None
→ Published: EVSE-002 | V=395.0V | Temp=21.3C | Fault=None
→ Published: EVSE-003 | V=412.4V | Temp=44.0C | Fault=None
→ Published: EVSE-004 | V=382.6V | Temp=29.7C | Fault=None
→ Published: EVSE-005 | V=412.2V | Temp=39.7C | Fault=None
→ Published: EVSE-001 | V=411.5V | Temp=41.3C | Fault=None
→ Published: EVSE-002 | V=387.5V | Temp=41.9C | Fault=None
→ Published: EVSE-003 | V=382.7V | Temp=43.3C | Fault=None
→ Published: EVSE-004 | V=401.9V | Temp=23.1C | Fault=None
→ Published: EVSE-005 | V=384.2V | Temp=23.0C | Fault=None
→ Published: EVSE-001 | V=388.1V | Temp=27.7C | Fault=None
→ Published: EVSE-002 | V=406.4V | Temp=32.2C | Fault=None
→ Published: EVSE-003 | V=411.2V | Temp=43.0C | Fault=None
→ Published: EVSE-004 | V=382.5V | Temp=41.0C | Fault=None
→ Published: EVSE-005 | V=416.6V | Temp=40.3C | Fault=None
→ Published: EVSE-001 | V=418.0V | Temp=22.0C | Fault=None
→ Published: EVSE-002 | V=405.9V | Temp=37.1C | Fault=None
→ Published: EVSE-003 | V=386.3V | Temp=32.3C | Fault=None
→ Published: EVSE-004 | V=419.2V | Temp=21.8C | Fault=None
→ Published: EVSE-005 | V=383.4V | Temp=37.6C | Fault=None
→ Published: EVSE-001 | V=380.3V | Temp=39.7C | Fault=None
→ Published: EVSE-002 | V=383.5V | Temp=35.0C | Fault=None
→ Published: EVSE-003 | V=410.8V | Temp=32.8C | Fault=None
→ Published: EVSE-004 | V=385.1V | Temp=40.3C | Fault=None
→ Published: EVSE-005 | V=392.4V | Temp=33.9C | Fault=None
→ Published: EVSE-001 | V=418.5V | Temp=28.6C | Fault=None
→ Published: EVSE-002 | V=396.7V | Temp=34.1C | Fault=None
→ Published: EVSE-003 | V=387.5V | Temp=33.6C | Fault=None
→ Published: EVSE-004 | V=274.7V | Temp=83.1C | Fault=F001_OVERHEAT
→ Published: EVSE-005 | V=234.6V | Temp=72.2C | Fault=F002_UNDERVOLT
→ Published: EVSE-001 | V=408.4V | Temp=31.6C | Fault=None
→ Published: EVSE-002 | V=419.7V | Temp=29.4C | Fault=None
→ Published: EVSE-003 | V=407.4V | Temp=21.5C | Fault=None
→ Published: EVSE-004 | V=390.7V | Temp=44.1C | Fault=None
→ Published: EVSE-005 | V=413.0V | Temp=26.7C | Fault=None
→ Published: EVSE-001 | V=412.1V | Temp=21.0C | Fault=None
→ Published: EVSE-002 | V=419.3V | Temp=22.4C | Fault=None
→ Published: EVSE-003 | V=417.1V | Temp=21.6C | Fault=None
→ Published: EVSE-004 | V=381.4V | Temp=32.0C | Fault=None
→ Published: EVSE-005 | V=417.5V | Temp=20.1C | Fault=None
→ Published: EVSE-001 | V=403.6V | Temp=20.1C | Fault=None
→ Published: EVSE-002 | V=307.5V | Temp=68.9C | Fault=F001_OVERHEAT
→ Published: EVSE-003 | V=384.7V | Temp=35.2C | Fault=None
→ Published: EVSE-004 | V=402.0V | Temp=39.5C | Fault=None
→ Published: EVSE-005 | V=260.0V | Temp=86.2C | Fault=F001_OVERHEAT
→ Published: EVSE-001 | V=401.4V | Temp=21.8C | Fault=None
→ Published: EVSE-002 | V=419.9V | Temp=39.6C | Fault=None
→ Published: EVSE-003 | V=337.9V | Temp=85.5C | Fault=F001_OVERHEAT
→ Published: EVSE-004 | V=398.5V | Temp=31.9C | Fault=None
→ Published: EVSE-005 | V=389.1V | Temp=21.3C | Fault=None
→ Published: EVSE-001 | V=390.3V | Temp=44.9C | Fault=None
→ Published: EVSE-002 | V=403.6V | Temp=43.1C | Fault=None
→ Published: EVSE-003 | V=396.3V | Temp=28.0C | Fault=None
→ Published: EVSE-004 | V=399.2V | Temp=31.0C | Fault=None
→ Published: EVSE-005 | V=409.9V | Temp=37.6C | Fault=None
→ Published: EVSE-001 | V=382.4V | Temp=31.4C | Fault=None
→ Published: EVSE-002 | V=400.4V | Temp=29.8C | Fault=None
→ Published: EVSE-003 | V=412.3V | Temp=30.5C | Fault=None
→ Published: EVSE-004 | V=394.9V | Temp=27.7C | Fault=None
→ Published: EVSE-005 | V=412.6V | Temp=25.1C | Fault=None
→ Published: EVSE-001 | V=389.4V | Temp=24.6C | Fault=None
→ Published: EVSE-002 | V=381.1V | Temp=27.6C | Fault=None
→ Published: EVSE-003 | V=386.5V | Temp=36.8C | Fault=None
→ Published: EVSE-004 | V=406.9V | Temp=44.4C | Fault=None
→ Published: EVSE-005 | V=401.5V | Temp=36.2C | Fault=None
→ Published: EVSE-001 | V=382.9V | Temp=21.7C | Fault=None
→ Published: EVSE-002 | V=411.6V | Temp=20.7C | Fault=None
→ Published: EVSE-003 | V=402.7V | Temp=39.7C | Fault=None
→ Published: EVSE-004 | V=393.1V | Temp=42.6C | Fault=None
→ Published: EVSE-005 | V=388.5V | Temp=35.0C | Fault=None
→ Published: EVSE-001 | V=396.6V | Temp=40.9C | Fault=None
→ Published: EVSE-002 | V=409.4V | Temp=33.0C | Fault=None
→ Published: EVSE-003 | V=391.1V | Temp=44.1C | Fault=None
→ Published: EVSE-004 | V=407.6V | Temp=30.0C | Fault=None
→ Published: EVSE-005 | V=408.4V | Temp=34.5C | Fault=None
→ Published: EVSE-001 | V=392.2V | Temp=30.0C | Fault=None
→ Published: EVSE-002 | V=388.6V | Temp=32.1C | Fault=None
→ Published: EVSE-003 | V=414.2V | Temp=28.0C | Fault=None
→ Published: EVSE-004 | V=397.8V | Temp=25.2C | Fault=None
→ Published: EVSE-005 | V=391.6V | Temp=33.0C | Fault=None
→ Published: EVSE-001 | V=414.0V | Temp=25.2C | Fault=None
→ Published: EVSE-002 | V=419.3V | Temp=31.8C | Fault=None
→ Published: EVSE-003 | V=412.8V | Temp=28.7C | Fault=None
→ Published: EVSE-004 | V=387.3V | Temp=29.2C | Fault=None
→ Published: EVSE-005 | V=393.8V | Temp=23.7C | Fault=None
→ Published: EVSE-001 | V=398.6V | Temp=24.5C | Fault=None
→ Published: EVSE-002 | V=401.7V | Temp=33.4C | Fault=None
→ Published: EVSE-003 | V=398.5V | Temp=29.1C | Fault=None
→ Published: EVSE-004 | V=415.1V | Temp=30.2C | Fault=None
→ Published: EVSE-005 | V=397.9V | Temp=44.9C | Fault=None
→ Published: EVSE-001 | V=417.4V | Temp=42.7C | Fault=None
→ Published: EVSE-002 | V=382.2V | Temp=33.3C | Fault=None
→ Published: EVSE-003 | V=411.4V | Temp=25.6C | Fault=None
→ Published: EVSE-004 | V=410.9V | Temp=32.5C | Fault=None
→ Published: EVSE-005 | V=388.7V | Temp=39.7C | Fault=None
→ Published: EVSE-001 | V=212.0V | Temp=86.0C | Fault=F002_UNDERVOLT
→ Published: EVSE-002 | V=387.1V | Temp=43.0C | Fault=None
→ Published: EVSE-003 | V=397.2V | Temp=36.2C | Fault=None
→ Published: EVSE-004 | V=391.4V | Temp=32.6C | Fault=None
→ Published: EVSE-005 | V=381.2V | Temp=33.2C | Fault=None
→ Published: EVSE-001 | V=383.2V | Temp=31.3C | Fault=None
→ Published: EVSE-002 | V=396.3V | Temp=38.4C | Fault=None
→ Published: EVSE-003 | V=403.2V | Temp=22.7C | Fault=None
→ Published: EVSE-004 | V=415.4V | Temp=24.5C | Fault=None
→ Published: EVSE-005 | V=416.7V | Temp=25.3C | Fault=None
→ Published: EVSE-001 | V=380.6V | Temp=32.3C | Fault=None
→ Published: EVSE-002 | V=392.4V | Temp=20.6C | Fault=None
→ Published: EVSE-003 | V=385.5V | Temp=20.6C | Fault=None
→ Published: EVSE-004 | V=337.1V | Temp=85.7C | Fault=F001_OVERHEAT
→ Published: EVSE-005 | V=416.8V | Temp=28.3C | Fault=None
→ Published: EVSE-001 | V=418.0V | Temp=20.0C | Fault=None
→ Published: EVSE-002 | V=214.1V | Temp=83.5C | Fault=F002_UNDERVOLT
→ Published: EVSE-003 | V=394.3V | Temp=33.8C | Fault=None
→ Published: EVSE-004 | V=404.2V | Temp=23.3C | Fault=None
→ Published: EVSE-005 | V=392.3V | Temp=25.4C | Fault=None
→ Published: EVSE-001 | V=380.8V | Temp=29.2C | Fault=None
→ Published: EVSE-002 | V=386.7V | Temp=43.5C | Fault=None
→ Published: EVSE-003 | V=409.9V | Temp=21.9C | Fault=None
→ Published: EVSE-004 | V=399.3V | Temp=27.3C | Fault=None
→ Published: EVSE-005 | V=408.1V | Temp=44.8C | Fault=None
→ Published: EVSE-001 | V=381.1V | Temp=23.7C | Fault=None
→ Published: EVSE-002 | V=413.5V | Temp=31.8C | Fault=None
→ Published: EVSE-003 | V=385.9V | Temp=32.9C | Fault=None
→ Published: EVSE-004 | V=396.4V | Temp=23.9C | Fault=None
→ Published: EVSE-005 | V=408.1V | Temp=26.7C | Fault=None
→ Published: EVSE-001 | V=397.8V | Temp=24.5C | Fault=None
→ Published: EVSE-002 | V=384.8V | Temp=37.4C | Fault=None
→ Published: EVSE-003 | V=394.0V | Temp=25.6C | Fault=None
→ Published: EVSE-004 | V=412.7V | Temp=29.6C | Fault=None
→ Published: EVSE-005 | V=390.8V | Temp=20.7C | Fault=None
→ Published: EVSE-001 | V=382.1V | Temp=40.9C | Fault=None
→ Published: EVSE-002 | V=403.8V | Temp=22.1C | Fault=None
→ Published: EVSE-003 | V=397.0V | Temp=32.5C | Fault=None
→ Published: EVSE-004 | V=383.4V | Temp=41.6C | Fault=None
→ Published: EVSE-005 | V=406.7V | Temp=43.7C | Fault=None
→ Published: EVSE-001 | V=381.4V | Temp=37.7C | Fault=None
→ Published: EVSE-002 | V=418.6V | Temp=20.3C | Fault=None
→ Published: EVSE-003 | V=397.3V | Temp=44.2C | Fault=None
→ Published: EVSE-004 | V=418.8V | Temp=29.2C | Fault=None
→ Published: EVSE-005 | V=385.3V | Temp=22.7C | Fault=None
→ Published: EVSE-001 | V=206.4V | Temp=81.4C | Fault=F002_UNDERVOLT
→ Published: EVSE-002 | V=404.5V | Temp=40.2C | Fault=None
→ Published: EVSE-003 | V=401.9V | Temp=41.6C | Fault=None
→ Published: EVSE-004 | V=392.7V | Temp=44.1C | Fault=None
→ Published: EVSE-005 | V=383.6V | Temp=30.6C | Fault=None
→ Published: EVSE-001 | V=409.5V | Temp=36.1C | Fault=None
→ Published: EVSE-002 | V=391.6V | Temp=43.6C | Fault=None
→ Published: EVSE-003 | V=212.0V | Temp=77.4C | Fault=F002_UNDERVOLT
→ Published: EVSE-004 | V=389.4V | Temp=37.9C | Fault=None
→ Published: EVSE-005 | V=382.6V | Temp=44.1C | Fault=None
→ Published: EVSE-001 | V=418.0V | Temp=42.4C | Fault=None
→ Published: EVSE-002 | V=407.9V | Temp=28.6C | Fault=None
→ Published: EVSE-003 | V=389.0V | Temp=31.0C | Fault=None
→ Published: EVSE-004 | V=384.6V | Temp=29.8C | Fault=None
→ Published: EVSE-005 | V=406.0V | Temp=20.9C | Fault=None
→ Published: EVSE-001 | V=386.7V | Temp=33.8C | Fault=None
→ Published: EVSE-002 | V=409.7V | Temp=29.9C | Fault=None
→ Published: EVSE-003 | V=415.3V | Temp=24.4C | Fault=None
→ Published: EVSE-004 | V=409.7V | Temp=32.0C | Fault=None
→ Published: EVSE-005 | V=381.3V | Temp=43.8C | Fault=None
→ Published: EVSE-001 | V=391.4V | Temp=35.6C | Fault=None
→ Published: EVSE-002 | V=413.9V | Temp=32.1C | Fault=None
→ Published: EVSE-003 | V=395.8V | Temp=43.0C | Fault=None
→ Published: EVSE-004 | V=389.5V | Temp=39.0C | Fault=None
→ Published: EVSE-005 | V=382.4V | Temp=35.4C | Fault=None
→ Published: EVSE-001 | V=418.8V | Temp=44.2C | Fault=None
→ Published: EVSE-002 | V=383.6V | Temp=42.5C | Fault=None
→ Published: EVSE-003 | V=398.7V | Temp=23.2C | Fault=None
→ Published: EVSE-004 | V=409.8V | Temp=21.4C | Fault=None
→ Published: EVSE-005 | V=386.8V | Temp=27.2C | Fault=None
→ Published: EVSE-001 | V=391.4V | Temp=28.2C | Fault=None
→ Published: EVSE-002 | V=387.1V | Temp=23.6C | Fault=None
→ Published: EVSE-003 | V=403.2V | Temp=41.8C | Fault=None
→ Published: EVSE-004 | V=387.0V | Temp=42.9C | Fault=None
→ Published: EVSE-005 | V=414.1V | Temp=27.7C | Fault=None
→ Published: EVSE-001 | V=403.9V | Temp=32.5C | Fault=None
→ Published: EVSE-002 | V=414.4V | Temp=28.4C | Fault=None
→ Published: EVSE-003 | V=409.6V | Temp=20.1C | Fault=None
→ Published: EVSE-004 | V=393.5V | Temp=23.7C | Fault=None
→ Published: EVSE-005 | V=413.6V | Temp=22.0C | Fault=None
→ Published: EVSE-001 | V=400.9V | Temp=32.8C | Fault=None
→ Published: EVSE-002 | V=390.7V | Temp=41.4C | Fault=None
→ Published: EVSE-003 | V=388.1V | Temp=35.2C | Fault=None
→ Published: EVSE-004 | V=393.3V | Temp=29.4C | Fault=None
→ Published: EVSE-005 | V=406.0V | Temp=20.0C | Fault=None
→ Published: EVSE-001 | V=411.3V | Temp=25.0C | Fault=None
→ Published: EVSE-002 | V=383.9V | Temp=29.5C | Fault=None
→ Published: EVSE-003 | V=410.5V | Temp=24.9C | Fault=None
→ Published: EVSE-004 | V=403.9V | Temp=42.6C | Fault=None
→ Published: EVSE-005 | V=416.2V | Temp=25.6C | Fault=None
→ Published: EVSE-001 | V=401.4V | Temp=37.2C | Fault=None
→ Published: EVSE-002 | V=392.7V | Temp=23.7C | Fault=None
→ Published: EVSE-003 | V=416.1V | Temp=38.6C | Fault=None
→ Published: EVSE-004 | V=392.2V | Temp=28.2C | Fault=None
→ Published: EVSE-005 | V=384.1V | Temp=23.5C | Fault=None
→ Published: EVSE-001 | V=399.7V | Temp=42.0C | Fault=None
→ Published: EVSE-002 | V=408.3V | Temp=24.7C | Fault=None
→ Published: EVSE-003 | V=391.4V | Temp=28.5C | Fault=None
→ Published: EVSE-004 | V=410.7V | Temp=33.3C | Fault=None
→ Published: EVSE-005 | V=413.6V | Temp=22.7C | Fault=None
→ Published: EVSE-001 | V=382.8V | Temp=24.6C | Fault=None
→ Published: EVSE-002 | V=408.1V | Temp=24.7C | Fault=None
→ Published: EVSE-003 | V=407.4V | Temp=31.3C | Fault=None
→ Published: EVSE-004 | V=396.8V | Temp=21.8C | Fault=None
→ Published: EVSE-005 | V=392.5V | Temp=33.8C | Fault=None
→ Published: EVSE-001 | V=416.7V | Temp=43.6C | Fault=None
→ Published: EVSE-002 | V=414.9V | Temp=28.1C | Fault=None
→ Published: EVSE-003 | V=382.1V | Temp=42.5C | Fault=None
→ Published: EVSE-004 | V=419.1V | Temp=40.4C | Fault=None
→ Published: EVSE-005 | V=403.8V | Temp=43.3C | Fault=None
→ Published: EVSE-001 | V=411.5V | Temp=33.8C | Fault=None
→ Published: EVSE-002 | V=410.1V | Temp=32.2C | Fault=None
→ Published: EVSE-003 | V=393.7V | Temp=23.5C | Fault=None
→ Published: EVSE-004 | V=404.3V | Temp=29.8C | Fault=None
→ Published: EVSE-005 | V=388.5V | Temp=35.6C | Fault=None
→ Published: EVSE-001 | V=389.6V | Temp=25.2C | Fault=None
→ Published: EVSE-002 | V=380.4V | Temp=26.7C | Fault=None
→ Published: EVSE-003 | V=407.2V | Temp=37.1C | Fault=None
→ Published: EVSE-004 | V=383.8V | Temp=37.4C | Fault=None
→ Published: EVSE-005 | V=381.7V | Temp=24.2C | Fault=None
→ Published: EVSE-001 | V=385.3V | Temp=42.9C | Fault=None
→ Published: EVSE-002 | V=383.0V | Temp=28.0C | Fault=None
→ Published: EVSE-003 | V=392.3V | Temp=32.0C | Fault=None
→ Published: EVSE-004 | V=406.0V | Temp=29.5C | Fault=None
→ Published: EVSE-005 | V=398.0V | Temp=21.5C | Fault=None
→ Published: EVSE-001 | V=386.2V | Temp=39.3C | Fault=None
→ Published: EVSE-002 | V=399.1V | Temp=34.0C | Fault=None
→ Published: EVSE-003 | V=399.0V | Temp=36.7C | Fault=None
→ Published: EVSE-004 | V=393.6V | Temp=41.1C | Fault=None
→ Published: EVSE-005 | V=402.6V | Temp=23.0C | Fault=None
→ Published: EVSE-001 | V=419.9V | Temp=33.6C | Fault=None
→ Published: EVSE-002 | V=275.0V | Temp=81.3C | Fault=F001_OVERHEAT
→ Published: EVSE-003 | V=382.3V | Temp=40.2C | Fault=None
→ Published: EVSE-004 | V=389.7V | Temp=34.0C | Fault=None
→ Published: EVSE-005 | V=400.3V | Temp=33.1C | Fault=None
→ Published: EVSE-001 | V=413.3V | Temp=36.4C | Fault=None
→ Published: EVSE-002 | V=331.9V | Temp=68.7C | Fault=F001_OVERHEAT
→ Published: EVSE-003 | V=409.7V | Temp=42.3C | Fault=None
→ Published: EVSE-004 | V=416.0V | Temp=32.5C | Fault=None
→ Published: EVSE-005 | V=404.5V | Temp=28.5C | Fault=None
→ Published: EVSE-001 | V=399.5V | Temp=41.4C | Fault=None
→ Published: EVSE-002 | V=398.0V | Temp=26.6C | Fault=None
→ Published: EVSE-003 | V=410.8V | Temp=41.7C | Fault=None
→ Published: EVSE-004 | V=384.2V | Temp=34.6C | Fault=None
→ Published: EVSE-005 | V=412.5V | Temp=25.4C | Fault=None
→ Published: EVSE-001 | V=398.5V | Temp=31.1C | Fault=None
→ Published: EVSE-002 | V=415.3V | Temp=26.7C | Fault=None
→ Published: EVSE-003 | V=404.8V | Temp=28.2C | Fault=None
→ Published: EVSE-004 | V=394.6V | Temp=30.2C | Fault=None
→ Published: EVSE-005 | V=381.9V | Temp=22.4C | Fault=None
